Title,Title_URL,Image,_3lwzlk,_2_r_dz,_2_r_dz1,rgwa7d,rgwa7d2,rgwa7d3,rgwa7d4,_30jeq3,_3i9_wc,,,
"Infinix HOT 12 Play (Horizon Blue, 64 GB)",https://www.flipkart.com/infinix-hot-12-play-horizon-blue-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KYCFZA7BRB&lid=LSTMOBGE2KYCFZA7BRBUNTJVL&marketplace=FLIPKART&q=mobile+phones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=cdd315e6-6e53-4eb5-9476-f7a74c02ca5b.MOBGE2KYCFZA7BRB.SEARCH&ssid=izb5az5bjk0000001657562879475&qH=a81ad6e72f7a2fd1,https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/mobile/j/o/x/-original-imagehxy5hzshkdv.jpeg?q=70,4.3,"21,799 Ratings","1,850 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,"?8,999","?11,999",,,
"Infinix HOT 12 Play (Daylight Green, 64 GB)",https://www.flipkart.com/infinix-hot-12-play-daylight-green-64-gb/p/itmd9c1091d0a662?pid=MOBGE2KY6JUTSNCP&lid=LSTMOBGE2KY6JUTSNCPGWOMYY&marketplace=FLIPKART&q=mobile+phones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=cdd315e6-6e53-4eb5-9476-f7a74c02ca5b.MOBGE2KY6JUTSNCP.SEARCH&ssid=izb5az5bjk0000001657562879475&qH=a81ad6e72f7a2fd1,https://rukminim1.flixcart.com/image/312/312/l3dcl8w0/mobile/c/q/t/-original-imageg2rjgezh6yf.jpeg?q=70,4.3,"21,799 Ratings","1,850 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display,13MP + Depth Lens | 8MP Front Camera,6000 mAh Li-ion Polymer Battery,"?8,999","?11,999",,,
"REDMI 10 (Pacific Blue, 64 GB)",https://www.flipkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW1PUFXX&marketplace=FLIPKART&q=mobile+phones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&iid=cdd315e6-6e53-4eb5-9476-f7a74c02ca5b.MOBGC9GYCHQZK9GW.SEARCH&ssid=izb5az5bjk0000001657562879475&qH=a81ad6e72f7a2fd1,https://rukminim1.flixcart.com/image/312/312/l0tweq80/mobile/w/r/t/-original-imagcgtgwg5taegn.jpeg?q=70,4.4,"37,122 Ratings","2,250 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,"?9,999","?14,999",,,
"POCO C31 (Shadow Gray, 32 GB)",https://www.flipkart.com/poco-c31-shadow-gray-32-gb/p/itmffefb8bb085e3?pid=MOBG73E7VZH7XHJY&lid=LSTMOBG73E7VZH7XHJYYXFO9I&marketplace=FLIPKART&q=mobile+phones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&iid=cdd315e6-6e53-4eb5-9476-f7a74c02ca5b.MOBG73E7VZH7XHJY.SEARCH&ssid=izb5az5bjk0000001657562879475&qH=a81ad6e72f7a2fd1,https://rukminim1.flixcart.com/image/312/312/ku4ezrk0/mobile/b/o/m/c31-mzb0a0min-poco-original-imag7bzqxekkpkrv.jpeg?q=70,4.4,"59,520 Ratings","3,582 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,"?8,999","?10,999",,,
"ASUS ROG Phone 3 (Black, 128 GB)",https://www.flipkart.com/asus-rog-phone-3-black-128-gb/p/itmf8623d755871d?pid=MOBFUXPBV3TFMPAH&lid=LSTMOBFUXPBV3TFMPAHAGA7SX&marketplace=FLIPKART&q=mobile+phones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&iid=cdd315e6-6e53-4eb5-9476-f7a74c02ca5b.MOBFUXPBV3TFMPAH.SEARCH&ssid=izb5az5bjk0000001657562879475&qH=a81ad6e72f7a2fd1,https://rukminim1.flixcart.com/image/312/312/kcuug7k0/mobile/g/h/e/asus-rog-phone-3-zs661ks-6a006in-original-imaftwc6nmyuyekd.jpeg?q=70,4.4,"4,386 Ratings",695 Reviews,12 GB RAM | 128 GB ROM,16.74 cm (6.59 inch) Full HD+ Display,64MP + 13MP + 5MP | 24MP Front Camera,6000 mAh Lithium Polymer Battery,"?49,999","?57,999",,,
SAMSUNG 27 inch Curved Full HD LED Backlit VA Panel Gaming Monitor (LC27G75TQSWXXL),https://www.flipkart.com/samsung-27-inch-curved-full-hd-led-backlit-va-panel-gaming-monitor-lc27g75tqswxxl/p/itm3adff8142f2b3?pid=MONFZBH2YDXDNRUD&lid=LSTMONFZBH2YDXDNRUDMX67JC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATlfyhUBFuPirJnOWBm1TIdUZcocBq2SZY3eGJ8Lj1%2Bsbg%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkec4280/monitor/u/g/c/lc27g75tqswxxl-lc27g75tqswxxl-samsung-original-imafzqvfcahbarfg.jpeg?q=70,4.5,15 Ratings,4 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 600 Units,Response Time: 1 ms | Refresh Rate: 240 Hz,"?42,199","?66,000",,,
"SAMSUNG Odyssey G7 28 inch UHD IPS Panel with HAS,3-Sided Borderless, HDR400, Low Input lag, Flat Gami...",https://www.flipkart.com/samsung-odyssey-g7-28-inch-uhd-ips-panel-has-3-sided-borderless-hdr400-low-input-lag-flat-gaming-monitor-ls28ag700nwxxl/p/itm49b78244fdc08?pid=MONGCZSTVDJCJVJE&lid=LSTMONGCZSTVDJCJVJEY0DMYY&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATmI0YoGnqUaAHe0skqjYXY04qR4YfKygvy9wzoppmhgpQ%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l1b1oy80/monitor/r/n/n/ls28ag700nwxxl-uhd-28-ls28ag700nwxxl-samsung-original-imagcwkrwgpchnzg.jpeg?q=70,,,,Panel Type: IPS Panel,Screen Resolution Type: UHD,Brightness: 300 nits,Response Time: 1 ms | Refresh Rate: 144 Hz,"?49,999","?75,000",,,
Acer V196HQL 18.5 inch LED Backlit LCD Monitor,https://www.flipkart.com/acer-v196hql-18-5-inch-led-backlit-lcd-monitor/p/itm75a2889dc89bd?pid=MONDV8H3WCPDXZYR&lid=LSTMONDV8H3WCPDXZYRJ8BXHW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONDV8H3WCPDXZYR.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/monitor/z/y/r/acer-v196hql-original-imadv9zq3ccmnh9r.jpeg?q=70,4.3,"15,999 Ratings","2,654 Reviews",Panel Type: TN Panel,Screen Resolution Type: HD,VGA Support,Brightness: 200 nits,"?6,599","?11,600",,,
"ZEBRONICS 18.5 inch HD TN Panel HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, Glossy Panel, Slim Desig...",https://www.flipkart.com/zebronics-18-5-inch-hd-tn-panel-hdmi-vga-input-1366-x-768-16-7m-colors-glossy-panel-slim-design-wall-mountable-monitor-zeb-v19hd-led/p/itmcd404240dd818?pid=MONG6Z8GQEHKGZKF&lid=LSTMONG6Z8GQEHKGZKFFPHMJ5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&spotlightTagId=BestsellerId_6bo%2Fg0i%2F9no&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONG6Z8GQEHKGZKF.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ktuewsw0/monitor/i/l/x/zeb-v19hd-led-hd-18-5-zeb-v19hd-led-zebronics-original-imag73hbg3zhz3zx.jpeg?q=70,4.1,"3,003 Ratings",351 Reviews,Panel Type: TN Panel,Screen Resolution Type: HD,Response Time: 8 ms,1 year carry into service center,"?5,399","?6,999",,,
SAMSUNG 22 inch Full HD IPS Panel Monitor (LF22T354FHWXXL),https://www.flipkart.com/samsung-22-inch-full-hd-ips-panel-monitor-lf22t354fhwxxl/p/itm8dcc388bd901f?pid=MONGAQTQKCEZGVSC&lid=LSTMONGAQTQKCEZGVSCG4LB7V&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAQTQKCEZGVSC.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/monitor/1/n/s/lf22t354fhwxxl-full-hd-22-lf22t354fhwxxl-samsung-original-imagats2rjbg9uhv.jpeg?q=70,4.4,"1,611 Ratings",233 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?10,199","?17,290",,,
MarQ By Flipkart 22 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (22FHDMVQII...,https://www.flipkart.com/marq-flipkart-22-inch-full-hd-led-backlit-va-panel-2-x-3w-inbuilt-speakers-monitor-22fhdmvqiihb/p/itmd9f00e61abf4d?pid=MONGAYHGFUFM2HW5&lid=LSTMONGAYHGFUFM2HW5IKLUQ3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAYHGFUFM2HW5.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/monitor/m/e/j/-original-imageudynqghyhxh.jpeg?q=70,4.4,75 Ratings,14 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 220 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?8,499","?12,499",,,
acer 23.8 inch Full HD LED Backlit VA Panel Gaming Monitor (QG241Y),https://www.flipkart.com/acer-23-8-inch-full-hd-led-backlit-va-panel-gaming-monitor-qg241y/p/itma36bf4e2a6040?pid=MONGENEYG4FUHTWC&lid=LSTMONGENEYG4FUHTWC1V2RVW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGENEYG4FUHTWC.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l432ikw0/monitor/o/j/t/qg241y-full-hd-23-8-um-qq1ss-001-acer-original-imagf2cbq6wwrdzg.jpeg?q=70,4.3,36 Ratings,6 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 1 ms | Refresh Rate: 75 Hz,"?9,699","?11,800",,,
SAMSUNG Odyssey G7 1000R 32 inch Curved Full HD LED Backlit VA Panel Gaming Monitor (LC32G75TQSWXXL),https://www.flipkart.com/samsung-odyssey-g7-1000r-32-inch-curved-full-hd-led-backlit-va-panel-gaming-monitor-lc32g75tqswxxl/p/itm4173c3d314a29?pid=MONFZBH2YHZKPMME&lid=LSTMONFZBH2YHZKPMME7PH2AK&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATkIO7tgt2ZdxifxtRaDh9VOtJmgRu4HhuOLYjsDpdNLwQ%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkec4280/monitor/k/j/3/lc32g75tqswxxl-lc32g75tqswxxl-samsung-original-imafzqvfsxddw8kw.jpeg?q=70,4.7,7 Ratings,0 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 350 nits,Response Time: 1 ms | Refresh Rate: 240 Hz,"?45,999","?72,000",,,
SAMSUNG 24 inch Full HD LED Backlit IPS Panel Monitor (LF24T350FHWXXL),https://www.flipkart.com/samsung-24-inch-full-hd-led-backlit-ips-panel-monitor-lf24t350fhwxxl/p/itm4e2d885641901?pid=MONFYGGACKSJX4MS&lid=LSTMONFYGGACKSJX4MSSUIOO3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONFYGGACKSJX4MS.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kiyw9e80/monitor/4/m/s/lf24t350fhwxxl-lf24t350fhwxxl-samsung-original-imafyne6fcqahmmn.jpeg?q=70,4.4,"1,611 Ratings",233 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Response Time: 5 ms | Refresh Rate: 75 Hz,3 Years Warranty,"?11,499","?19,100",,,
acer 23.8 inch Full HD LED Backlit IPS Panel Monitor (HA240Y),https://www.flipkart.com/acer-23-8-inch-full-hd-led-backlit-ips-panel-monitor-ha240y/p/itmfbeg6j2gmkhfu?pid=MONFBEG6RFZ4VSA6&lid=LSTMONFBEG6RFZ4VSA6YEJBGD&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONFBEG6RFZ4VSA6.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ks0onm80/monitor/8/k/l/ha240y-um-hw0si-a01-acer-original-imag5zjzfcfgzydm.jpeg?q=70,4.5,"1,454 Ratings",282 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 4 ms | Refresh Rate: 75 Hz,"?11,699","?13,532",,,
SAMSUNG 27 inch Curved Full HD LED Backlit VA Panel Gaming Monitor (LC27G75TQSWXXL),https://www.flipkart.com/samsung-27-inch-curved-full-hd-led-backlit-va-panel-gaming-monitor-lc27g75tqswxxl/p/itm3adff8142f2b3?pid=MONFZBH2YDXDNRUD&lid=LSTMONFZBH2YDXDNRUDMX67JC&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=en_cZHpFK%2FrjHskeIET063rZF9YOUnf9nSS9zV%2FHGHgATlfyhUBFuPirJnOWBm1TIdUZcocBq2SZY3eGJ8Lj1%2Bsbg%3D%3D&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kkec4280/monitor/u/g/c/lc27g75tqswxxl-lc27g75tqswxxl-samsung-original-imafzqvfcahbarfg.jpeg?q=70,4.5,15 Ratings,4 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 600 Units,Response Time: 1 ms | Refresh Rate: 240 Hz,"?42,199","?66,000",,,
Acer V196HQL 18.5 inch LED Backlit LCD Monitor,https://www.flipkart.com/acer-v196hql-18-5-inch-led-backlit-lcd-monitor/p/itm75a2889dc89bd?pid=MONDV8H3WCPDXZYR&lid=LSTMONDV8H3WCPDXZYRJ8BXHW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONDV8H3WCPDXZYR.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/monitor/z/y/r/acer-v196hql-original-imadv9zq3ccmnh9r.jpeg?q=70,4.3,"15,999 Ratings","2,654 Reviews",Panel Type: TN Panel,Screen Resolution Type: HD,VGA Support,Brightness: 200 nits,"?6,599","?11,600",,,
"ZEBRONICS 18.5 inch HD TN Panel HDMI, VGA Input, HD 1366 x 768, 16.7M Colors, Glossy Panel, Slim Desig...",https://www.flipkart.com/zebronics-18-5-inch-hd-tn-panel-hdmi-vga-input-1366-x-768-16-7m-colors-glossy-panel-slim-design-wall-mountable-monitor-zeb-v19hd-led/p/itmcd404240dd818?pid=MONG6Z8GQEHKGZKF&lid=LSTMONG6Z8GQEHKGZKFFPHMJ5&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&spotlightTagId=BestsellerId_6bo%2Fg0i%2F9no&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONG6Z8GQEHKGZKF.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/ktuewsw0/monitor/i/l/x/zeb-v19hd-led-hd-18-5-zeb-v19hd-led-zebronics-original-imag73hbg3zhz3zx.jpeg?q=70,4.1,"3,003 Ratings",351 Reviews,Panel Type: TN Panel,Screen Resolution Type: HD,Response Time: 8 ms,1 year carry into service center,"?5,399","?6,999",,,
SAMSUNG 22 inch Full HD IPS Panel Monitor (LF22T354FHWXXL),https://www.flipkart.com/samsung-22-inch-full-hd-ips-panel-monitor-lf22t354fhwxxl/p/itm8dcc388bd901f?pid=MONGAQTQKCEZGVSC&lid=LSTMONGAQTQKCEZGVSCG4LB7V&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAQTQKCEZGVSC.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/monitor/1/n/s/lf22t354fhwxxl-full-hd-22-lf22t354fhwxxl-samsung-original-imagats2rjbg9uhv.jpeg?q=70,4.4,"1,611 Ratings",233 Reviews,Panel Type: IPS Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?10,199","?17,290",,,
MarQ By Flipkart 22 inch Full HD LED Backlit VA Panel with 2 X 3W Inbuilt Speakers Monitor (22FHDMVQII...,https://www.flipkart.com/marq-flipkart-22-inch-full-hd-led-backlit-va-panel-2-x-3w-inbuilt-speakers-monitor-22fhdmvqiihb/p/itmd9f00e61abf4d?pid=MONGAYHGFUFM2HW5&lid=LSTMONGAYHGFUFM2HW5IKLUQ3&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGAYHGFUFM2HW5.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/monitor/m/e/j/-original-imageudynqghyhxh.jpeg?q=70,4.4,75 Ratings,14 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 220 nits,Response Time: 5 ms | Refresh Rate: 75 Hz,"?8,499","?12,499",,,
acer 23.8 inch Full HD LED Backlit VA Panel Gaming Monitor (QG241Y),https://www.flipkart.com/acer-23-8-inch-full-hd-led-backlit-va-panel-gaming-monitor-qg241y/p/itma36bf4e2a6040?pid=MONGENEYG4FUHTWC&lid=LSTMONGENEYG4FUHTWC1V2RVW&marketplace=FLIPKART&q=monitor&store=6bo%2Fg0i%2F9no&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_7_na_na_na&iid=515aa6be-6f25-4891-ab01-f7320963f567.MONGENEYG4FUHTWC.SEARCH&ssid=k11o8nwa6o0000001657562206800&qH=08b5411f848a2581,https://rukminim1.flixcart.com/image/312/312/l432ikw0/monitor/o/j/t/qg241y-full-hd-23-8-um-qq1ss-001-acer-original-imagf2cbq6wwrdzg.jpeg?q=70,4.3,36 Ratings,6 Reviews,Panel Type: VA Panel,Screen Resolution Type: Full HD,Brightness: 250 nits,Response Time: 1 ms | Refresh Rate: 75 Hz,"?9,699","?11,800",,,
